frame,x0,y0,z0,conf0,x1,y1,z1,conf1,x2,y2,z2,conf2,x3,y3,z3,conf3,x4,y4,z4,conf4,x5,y5,z5,conf5,x6,y6,z6,conf6,x7,y7,z7,conf7,x8,y8,z8,conf8,x9,y9,z9,conf9,x10,y10,z10,conf10,x11,y11,z11,conf11,x12,y12,z12,conf12,x13,y13,z13,conf13,x14,y14,z14,conf14,x15,y15,z15,conf15,x16,y16,z16,conf16,x17,y17,z17,conf17,x18,y18,z18,conf18,x19,y19,z19,conf19,x20,y20,z20,conf20,x21,y21,z21,conf21,x22,y22,z22,conf22,x23,y23,z23,conf23,x24,y24,z24,conf24,x25,y25,z25,conf25,x26,y26,z26,conf26,x27,y27,z27,conf27,x28,y28,z28,conf28,x29,y29,z29,conf29,x30,y30,z30,conf30,x31,y31,z31,conf31,x32,y32,z32,conf32,cluster_id
20,0.5056134462356567,0.3393298685550689,-0.3010334372520447,0.9999983310699464,0.5109914541244507,0.3257512748241424,-0.2870437800884247,0.9999968409538268,0.5144442915916443,0.3261084258556366,-0.2872464060783386,0.9999957084655762,0.5166146159172058,0.3269569873809814,-0.287192553281784,0.9999969005584716,0.5024840235710144,0.3258712887763977,-0.2869122922420501,0.9999977350234984,0.4999682009220123,0.3262720108032226,-0.2871003746986389,0.9999975562095642,0.4974370300769806,0.3269181549549103,-0.2871152758598327,0.9999975562095642,0.5220246315002441,0.3350201249122619,-0.1996537894010543,0.9999968409538268,0.4948120713233948,0.3339529931545257,-0.1971823871135711,0.99998939037323,0.5118749737739563,0.3543100357055664,-0.2661903798580169,0.999993860721588,0.500417172908783,0.3536485731601715,-0.2668643891811371,0.9999923706054688,0.5396440625190735,0.4061929285526275,-0.1625787168741226,0.999988615512848,0.4805883467197418,0.4096716344356537,-0.1417309343814849,0.9999700784683228,0.5876335501670837,0.4179084300994873,-0.3086332082748413,0.995768427848816,0.4301987588405609,0.4426185190677643,-0.2889662683010101,0.9897981286048888,0.5420802235603333,0.4221412241458893,-0.4677322506904602,0.9889202117919922,0.4761805832386017,0.4263215661048889,-0.4587758481502533,0.9844024181365968,0.5302778482437134,0.4197127521038055,-0.5087267160415649,0.9677679538726808,0.4864425957202911,0.416438341140747,-0.5006109476089478,0.9556660056114196,0.5268738269805908,0.4154461324214935,-0.4986394047737121,0.9625681638717652,0.4898985922336578,0.4141636192798614,-0.4879122674465179,0.9439918398857116,0.5298637747764587,0.4205039739608764,-0.4670306742191314,0.9333656430244446,0.4881825149059295,0.4205242991447449,-0.4585558474063873,0.904624879360199,0.5318365097045898,0.5748432278633118,-0.0144717814400792,0.9999001026153564,0.4961691796779632,0.5786754488945007,0.0142487902194261,0.9999009370803832,0.5327765345573425,0.7145186066627502,-0.0806879773736,0.5710060596466064,0.4973125755786896,0.7146477103233337,-0.0690742433071136,0.4032176434993744,0.5142008066177368,0.8609318733215332,-0.0354147031903266,0.6245390772819519,0.5198786854743958,0.8815727233886719,-0.0322714783251285,0.6869701743125916,0.5091651082038879,0.8842779397964478,-0.0391664393246173,0.4353943467140198,0.5281190872192383,0.9051199555397034,-0.0348507314920425,0.4596626460552215,0.5162999629974365,0.9006921648979187,-0.1546109169721603,0.6994712352752686,0.5122807621955872,0.9171590805053712,-0.1452955454587936,0.6962899565696716,1
21,0.5056164860725403,0.3391332924365997,-0.3022198379039764,0.9999979138374328,0.5108557343482971,0.325460821390152,-0.2878269255161285,0.9999961853027344,0.5143670439720154,0.3257695734500885,-0.2880343198776245,0.9999948143959044,0.5166089534759521,0.3265683650970459,-0.2879762053489685,0.9999962449073792,0.5024414658546448,0.3261536061763763,-0.28767129778862,0.9999973177909852,0.499949038028717,0.3266557455062866,-0.2878699600696563,0.999997079372406,0.4974391758441925,0.3272935152053833,-0.2878918945789337,0.9999971389770508,0.5219951272010803,0.3341910243034363,-0.1978225260972976,0.9999960660934448,0.4948191344738006,0.3337571322917938,-0.1953358054161071,0.9999876022338868,0.5119165182113647,0.354085236787796,-0.2662792503833771,0.9999925494194032,0.5004177689552307,0.3533399701118469,-0.2669740915298462,0.999990940093994,0.5398655533790588,0.4059043228626251,-0.1588121056556701,0.999987244606018,0.480591744184494,0.4089315533638,-0.1388273984193802,0.9999682903289796,0.5877504348754883,0.4178535044193268,-0.30503711104393,0.995306432247162,0.4302033185958862,0.4421893358230591,-0.2868441939353943,0.9895449876785278,0.5420854091644287,0.4217707216739654,-0.4671523869037628,0.9878900051116944,0.4762493073940277,0.425348162651062,-0.4601848423480987,0.985221803188324,0.5302956104278564,0.4199164509773254,-0.5087901949882507,0.9655956625938416,0.4864525198936462,0.4151788651943207,-0.5029227137565613,0.9582191705703736,0.5269407033920288,0.4156808853149414,-0.4985750913619995,0.9599889516830444,0.4899207949638366,0.4129879176616668,-0.4903918802738189,0.947208821773529,0.5299325585365295,0.4204833209514618,-0.4664807915687561,0.9294700026512146,0.4882220327854156,0.4192322790622711,-0.4601035416126251,0.9098839163780212,0.5319653153419495,0.5741527080535889,-0.0139326732605695,0.9999018907546996,0.4959028959274292,0.577523410320282,0.0137117030099034,0.999903440475464,0.5330740213394165,0.7146396636962891,-0.0824066847562789,0.5813174247741699,0.4964723885059356,0.7143679857254028,-0.0715088918805122,0.4218688011169433,0.5134249329566956,0.8616527318954468,-0.0339758582413196,0.6493387222290039,0.5199777483940125,0.8799530267715454,-0.0299012642353773,0.7064027786254883,0.5077470541000366,0.8854971528053284,-0.0378101356327533,0.455938845872879,0.5283126831054688,0.9037956595420836,-0.0321930535137653,0.4778458178043365,0.5161153078079224,0.9014144539833068,-0.1564445197582245,0.7185453772544861,0.5127853155136108,0.9171595573425292,-0.1463856995105743,0.7138445973396301,1
22,0.5056142210960388,0.3391852974891662,-0.3032602369785309,0.9999979138374328,0.510817289352417,0.3252716064453125,-0.2893972098827362,0.9999961853027344,0.5143618583679199,0.3254897892475128,-0.2895966172218323,0.9999948143959044,0.5166255235671997,0.3261924982070923,-0.2895441949367523,0.9999962449073792,0.502298891544342,0.3262833058834076,-0.2890936732292175,0.9999973177909852,0.4998728334903717,0.3267515301704407,-0.2892861664295196,0.999997079372406,0.4972497522830963,0.3273716866970062,-0.289303719997406,0.9999971389770508,0.5219807624816895,0.3335770070552826,-0.2007300406694412,0.9999960064888,0.4947987198829651,0.3333566188812256,-0.1974786221981048,0.999987542629242,0.5119232535362244,0.3542928397655487,-0.2677062451839447,0.9999924898147584,0.5003930926322937,0.3535523414611816,-0.2681889235973358,0.9999908804893494,0.5399985909461975,0.4045376479625702,-0.1601691991090774,0.9999871253967284,0.4805569946765899,0.4079479575157165,-0.1396544724702835,0.9999685287475586,0.5878711342811584,0.4165495336055755,-0.3043698370456695,0.9952632784843444,0.430202305316925,0.4415453970432281,-0.2856858670711517,0.989826500415802,0.542055070400238,0.4195763170719147,-0.4643505811691284,0.9877402186393738,0.4763197004795074,0.4246096611022949,-0.4562672972679138,0.9861744046211244,0.5300312638282776,0.4173322916030884,-0.5054951906204224,0.965232253074646,0.4864506423473358,0.4137328267097473,-0.4983692169189453,0.9609472751617432,0.5268245339393616,0.413434088230133,-0.4953764081001282,0.95954692363739,0.4899245202541351,0.4114992916584015,-0.485713392496109,0.9506486058235168,0.5298386812210083,0.4180286824703216,-0.4636263251304626,0.929163098335266,0.4882716536521911,0.418100357055664,-0.4561124742031097,0.9155706167221068,0.5320748686790466,0.5734809637069702,-0.0139193702489137,0.9999036192893982,0.4958340525627136,0.5777397155761719,0.0136981792747974,0.9999055862426758,0.5330653786659241,0.7109595537185669,-0.0995032638311386,0.5970083475112915,0.4956126809120178,0.7129364013671875,-0.0770953074097633,0.4428439140319824,0.5138019323348999,0.8599889874458313,-0.0518630817532539,0.6684412956237793,0.5199946761131287,0.880253255367279,-0.0359571129083633,0.7224978804588318,0.5085930824279785,0.8809840083122253,-0.0556239672005176,0.4737554788589477,0.5284258723258972,0.9040480852127076,-0.038332249969244,0.4957240521907806,0.5160978436470032,0.8999800682067871,-0.1712962687015533,0.7338694334030151,0.5117103457450867,0.9175460338592528,-0.1497371047735214,0.7287151217460632,1
23,0.5055878758430481,0.3384709656238556,-0.3165262639522552,0.999997854232788,0.5106817483901978,0.3243951797485351,-0.3029530644416809,0.9999960660934448,0.5142504572868347,0.3245420455932617,-0.3031605184078216,0.9999946355819702,0.5166130065917969,0.3252549767494201,-0.3031056523323059,0.9999961256980896,0.5020771622657776,0.3258226215839386,-0.3025875985622406,0.9999972581863404,0.4996991455554962,0.3263176083564758,-0.3027906715869903,0.9999970197677612,0.4968981742858886,0.3270914554595947,-0.3028091490268707,0.999997079372406,0.5218143463134766,0.332551509141922,-0.2133829742670059,0.9999958276748656,0.4947162568569183,0.3325434625148773,-0.209777757525444,0.999987244606018,0.5119234323501587,0.3532795310020447,-0.2804580330848694,0.9999923706054688,0.5003722906112671,0.3527301549911499,-0.2808270752429962,0.9999907612800598,0.5401113629341125,0.4033041596412658,-0.1690518707036972,0.999987006187439,0.4805583953857422,0.4070594906806946,-0.1500056535005569,0.9999690055847168,0.587937593460083,0.4162318706512451,-0.3150111734867096,0.9951379895210266,0.4301640689373016,0.4405761659145355,-0.2975033819675445,0.9901720285415648,0.542097806930542,0.4179953634738922,-0.4797864556312561,0.9876648783683776,0.4765130877494812,0.424511194229126,-0.4712758064270019,0.9871296286582948,0.5299316048622131,0.4147814810276031,-0.521999180316925,0.9652020335197448,0.4865113496780395,0.4129777550697326,-0.5140647292137146,0.9636604189872742,0.5267847180366516,0.4108664691448211,-0.5123202800750732,0.9594739079475404,0.4899746477603912,0.4111045598983764,-0.5020310282707214,0.9540545344352722,0.5298135280609131,0.4158969521522522,-0.4792583286762237,0.929064393043518,0.488383024930954,0.4180135428905487,-0.4713588356971741,0.9211206436157228,0.5322560667991638,0.5724009871482849,-0.0136438552290201,0.999906063079834,0.4957075715065002,0.5768924951553345,0.0134195825085043,0.9999085664749146,0.5335527658462524,0.709983766078949,-0.1100829020142555,0.6130421757698059,0.4952863454818725,0.7124826312065125,-0.0799032524228096,0.4638327062129974,0.5135344862937927,0.8597710728645325,-0.0521513558924198,0.6875665783882141,0.5199527144432068,0.8803375363349915,-0.0332426391541957,0.7392063736915588,0.5075566172599792,0.8797486424446106,-0.055244792252779,0.4901489019393921,0.5284202694892883,0.9040452837944032,-0.0354390516877174,0.5113022327423096,0.5161921381950378,0.8993648290634155,-0.1721757501363754,0.7486319541931152,0.5111067295074463,0.9179993867874146,-0.147905021905899,0.7434836626052856,1
24,0.5054808855056763,0.3375385999679565,-0.2385178059339523,0.9999979138374328,0.5105549693107605,0.3236505687236786,-0.2224647551774978,0.9999962449073792,0.5141491293907166,0.3237542808055877,-0.2226252853870391,0.9999948740005492,0.5166112780570984,0.3244360089302063,-0.2225802838802337,0.999996304512024,0.5019322633743286,0.3250559568405151,-0.2211607098579406,0.99999737739563,0.4995912909507751,0.3254914879798889,-0.2213398367166519,0.9999971389770508,0.4966718852519989,0.3262649178504944,-0.2213332206010818,0.9999971985816956,0.5217301249504089,0.3317736387252807,-0.133473053574562,0.9999960064888,0.4947181940078735,0.3316824436187744,-0.1254660487174987,0.9999876618385316,0.5118692517280579,0.3526802957057953,-0.2036987990140915,0.9999927282333374,0.5003170371055603,0.352090835571289,-0.2028771936893463,0.999991238117218,0.5402997732162476,0.4025366604328155,-0.104107454419136,0.9999873042106628,0.4806304574012756,0.4064409136772156,-0.0762056112289428,0.9999698996543884,0.5880070328712463,0.4148395359516144,-0.2451285570859909,0.9953573346138,0.4301938712596893,0.4400001168251037,-0.2222979217767715,0.9906911849975586,0.5415322184562683,0.4159651100635528,-0.3993023931980133,0.9882206320762634,0.4767721891403198,0.4242225885391235,-0.3907153308391571,0.9880041480064392,0.5290253162384033,0.4136120080947876,-0.4384995996952057,0.966366171836853,0.4866378009319305,0.412339299917221,-0.4294893443584442,0.9660186171531676,0.5262959599494934,0.4098394215106964,-0.4266899526119232,0.9607715606689452,0.490043431520462,0.4106872975826263,-0.4166182279586792,0.9570359587669371,0.5293900966644287,0.4143966436386108,-0.3975757360458374,0.9316420555114746,0.488486111164093,0.4178477525711059,-0.3903867602348327,0.9261565804481506,0.5324305891990662,0.5715997815132141,-0.0139902643859386,0.9999099373817444,0.4956457912921905,0.5766712427139282,0.0137506751343607,0.9999123215675354,0.5339576005935669,0.703548789024353,-0.1825082898139953,0.6461768746376038,0.4954070746898651,0.7187713980674744,-0.0776056498289108,0.5000312328338623,0.5137646198272705,0.848215639591217,-0.1307355761528015,0.709550678730011,0.5193960070610046,0.8804132342338562,-0.0322734676301479,0.7575321793556213,0.5082201361656189,0.8675481677055359,-0.1330228447914123,0.5148307085037231,0.5275906920433044,0.9040651321411132,-0.0348286963999271,0.532183051109314,0.5124090909957886,0.8992164731025696,-0.2525988817214966,0.7664472460746765,0.5104978680610657,0.9186258912086488,-0.146262839436531,0.7602812051773071,1
25,0.5054838061332703,0.3356459736824035,-0.1887292116880417,0.9999980926513672,0.5105545520782471,0.3220029175281524,-0.1701838076114654,0.999996542930603,0.5141680836677551,0.3221596181392669,-0.170320987701416,0.999995231628418,0.5166674256324768,0.3228645324707031,-0.170278251171112,0.9999966025352478,0.5019283294677734,0.3229639232158661,-0.1689300537109375,0.9999975562095642,0.4995875358581543,0.323413223028183,-0.1690978854894638,0.99999737739563,0.4966482520103454,0.3241443634033203,-0.1690743714570999,0.99999737739563,0.5217291116714478,0.3304411768913269,-0.078132040798664,0.999996304512024,0.4947198927402496,0.3302279412746429,-0.0703170150518417,0.9999884963035583,0.5118953585624695,0.3509078323841095,-0.1535315811634063,0.9999932646751404,0.5003166794776917,0.3506384491920471,-0.1528048366308212,0.9999918937683104,0.5403798222541809,0.4014124572277069,-0.0574113503098487,0.9999878406524658,0.4806318283081054,0.4063937366008758,-0.0271414015442132,0.9999714493751526,0.588046133518219,0.4132939279079437,-0.1976747214794159,0.9955754280090332,0.430211454629898,0.4397208392620086,-0.1773924678564071,0.9912790656089784,0.5405349135398865,0.412880003452301,-0.3543212115764618,0.988813042640686,0.4768223166465759,0.4236823320388794,-0.353057861328125,0.9888359904289246,0.5275492668151855,0.4112099111080169,-0.3945704698562622,0.9675731658935548,0.4866032898426056,0.4124926626682281,-0.392329066991806,0.9682238101959229,0.5253928899765015,0.4076911807060241,-0.38233682513237,0.9621554017066956,0.4900353550910949,0.4111201763153076,-0.3791369497776031,0.959844708442688,0.5286757349967957,0.4120903313159942,-0.3527186810970306,0.9343307018280028,0.4884918928146362,0.4182211458683014,-0.3527947962284088,0.930773913860321,0.5324400067329407,0.5712718367576599,-0.0160178206861019,0.999914526939392,0.4953392148017883,0.5765858888626099,0.0157455895096063,0.9999166131019592,0.5339586138725281,0.6960284113883972,-0.2438164800405502,0.6788590550422668,0.4955174028873443,0.7214824557304382,-0.0686692893505096,0.5325567722320557,0.5145581960678101,0.8377828001976013,-0.2020712941884994,0.7290523052215576,0.518970787525177,0.8802558779716492,-0.019981374964118,0.7725656628608704,0.509122371673584,0.8602766394615173,-0.2046167701482772,0.5393567085266113,0.5267720818519592,0.9034801125526428,-0.0215030889958143,0.5488190650939941,0.5108584761619568,0.8961451053619385,-0.327257752418518,0.7831762433052063,0.510646402835846,0.919535994529724,-0.1381493210792541,0.7745994925498962,4
26,0.5055138468742371,0.3339168131351471,-0.1838597953319549,0.9999982118606568,0.5105812549591064,0.3205175101757049,-0.1654588133096695,0.9999967217445374,0.5142185091972351,0.3208081424236297,-0.1655976474285125,0.9999955296516418,0.5167210698127747,0.3215478360652923,-0.1655569076538086,0.999996781349182,0.5019485354423523,0.320867121219635,-0.1646490395069122,0.9999976754188538,0.4996017515659332,0.3213120102882385,-0.1648091673851013,0.9999975562095642,0.4966505765914917,0.3220211267471313,-0.1647926717996597,0.9999975562095642,0.5216212868690491,0.3291058540344238,-0.0742000341415405,0.999996542930603,0.49469655752182,0.3286182284355163,-0.0684550032019615,0.999989092350006,0.5118953585624695,0.3491861224174499,-0.1489979922771453,0.9999936819076538,0.5003122687339783,0.3489522337913513,-0.1488464176654815,0.9999924302101136,0.5403738021850586,0.3993496298789978,-0.052532635629177,0.9999881982803344,0.4804453551769256,0.4056185185909271,-0.0266930293291807,0.9999725222587584,0.5881746411323547,0.4119065999984741,-0.1903738230466842,0.995677411556244,0.4302936196327209,0.4390194416046142,-0.1752761900424957,0.99167799949646,0.5405948758125305,0.4122699499130249,-0.3472271561622619,0.9893018007278442,0.4768186807632446,0.4236075580120086,-0.3487978279590606,0.989624321460724,0.5277896523475647,0.4111471772193908,-0.3868638277053833,0.968875527381897,0.4864910840988159,0.4124376475811004,-0.3878721594810486,0.9704731106758118,0.5255026817321777,0.4067066013813019,-0.3754355609416961,0.9637160897254944,0.4899875819683075,0.4109323024749756,-0.3744542896747589,0.9627211093902588,0.5287593007087708,0.4108599424362182,-0.3459750413894653,0.9373326897621156,0.4884888827800751,0.4181185364723205,-0.3483801782131195,0.9356491565704346,0.5324751734733582,0.5693199634552002,-0.0160685535520315,0.9999166131019592,0.4952258765697479,0.5754595994949341,0.0157949812710285,0.9999185800552368,0.5339943766593933,0.6927310228347778,-0.2354874312877655,0.7075797319412231,0.4956939816474914,0.7213402986526489,-0.0663354247808456,0.5609917640686035,0.5148120522499084,0.8318178653717041,-0.1961071640253067,0.7460781931877136,0.5187011361122131,0.8785997629165649,-0.0209873095154762,0.7864670753479004,0.5104953646659851,0.8496124148368835,-0.1984943449497223,0.560286819934845,0.5260472297668457,0.901586651802063,-0.0225919485092163,0.5648419260978699,0.5092577338218689,0.893861711025238,-0.3170408010482788,0.7978291511535645,0.5111713409423828,0.9198596477508544,-0.1378640234470367,0.7875040173530579,4
27,0.5053994655609131,0.3333437740802765,-0.1527007520198822,0.9999983310699464,0.5104509592056274,0.3199483454227447,-0.1329428106546402,0.9999969005584716,0.5139784812927246,0.3200811445713043,-0.1330683976411819,0.999995768070221,0.5166799426078796,0.320761114358902,-0.1330288350582122,0.9999969601631165,0.5018377900123596,0.3209362030029297,-0.1313089281320572,0.9999977946281432,0.4995061457157135,0.3214468359947204,-0.1314634829759597,0.9999976754188538,0.4964706003665924,0.3222467601299286,-0.1314442902803421,0.9999976754188538,0.5213397145271301,0.3281743228435516,-0.0416453890502452,0.9999967217445374,0.494662880897522,0.3282461762428283,-0.0318901911377906,0.9999895691871644,0.5118011236190796,0.3485709726810455,-0.1183536052703857,0.9999940395355223,0.5002633333206177,0.3483344912528991,-0.1171030700206756,0.9999929070472716,0.5403974652290344,0.3992547690868377,-0.0262279082089662,0.9999884366989136,0.4804528355598449,0.405322790145874,0.0046641854569315,0.9999738931655884,0.5885744690895081,0.4103399217128753,-0.1661169826984405,0.9955887794494628,0.430323988199234,0.4388155341148376,-0.1429269462823867,0.992038905620575,0.5402211546897888,0.4108220934867859,-0.325668066740036,0.9891497492790222,0.4768264591693878,0.421996533870697,-0.3173063099384308,0.9902404546737672,0.5273882150650024,0.406790018081665,-0.3665474355220794,0.9682447910308838,0.4864894151687622,0.41047403216362,-0.3566194772720337,0.9721688032150269,0.5251703858375549,0.4030625820159912,-0.354324460029602,0.9630298018455504,0.4899903833866119,0.4091121852397918,-0.3430540859699249,0.9649030566215516,0.528418242931366,0.4087012708187103,-0.3242900967597961,0.9368945360183716,0.4885102808475494,0.4165630340576172,-0.31698077917099,0.9392158389091492,0.5325194597244263,0.5684102773666382,-0.0166911911219358,0.99992036819458,0.4952090978622436,0.5745550394058228,0.0164116993546485,0.999922513961792,0.5347244143486023,0.6877100467681885,-0.2745080292224884,0.7346033453941345,0.4959258437156677,0.7214329242706299,-0.0613560900092124,0.5872281789779663,0.518623948097229,0.8192636966705322,-0.2226287871599197,0.7568637728691101,0.5182573199272156,0.8786100149154663,-0.0170385800302028,0.7971538305282593,0.5141569972038269,0.8453329205513,-0.223151296377182,0.5767784118652344,0.5255201458930969,0.901515781879425,-0.0184288062155246,0.5763545036315918,0.5093957781791687,0.8825345039367676,-0.338187426328659,0.8080766797065735,0.5111942291259766,0.9200233221054076,-0.133020207285881,0.7968482971191406,4
28,0.5052501559257507,0.3329919576644897,-0.1143017783761024,0.9999983906745912,0.5102671384811401,0.3195586502552032,-0.0941719710826873,0.9999969601631165,0.513692319393158,0.319631427526474,-0.0942842215299606,0.9999958872795104,0.5166175961494446,0.3202598094940185,-0.0942444801330566,0.9999970197677612,0.5016874074935913,0.3207469284534454,-0.0916140004992485,0.999997854232788,0.4992804825305938,0.3212954998016357,-0.0917499214410781,0.9999977350234984,0.4961714148521423,0.3221248984336853,-0.0917257368564605,0.9999977946281432,0.5211056470870972,0.3274557888507843,-0.0054789390414953,0.9999968409538268,0.4945835173130035,0.327778697013855,0.0083709247410297,0.9999898076057434,0.5116310715675354,0.3483412861824035,-0.0812614932656288,0.9999943375587464,0.5001851916313171,0.3481117486953735,-0.0788471177220344,0.9999932050704956,0.5404403209686279,0.3989160656929016,0.0036903652362525,0.9999885559082032,0.4804600477218628,0.4049427509307861,0.0414122492074966,0.9999749660491944,0.5889948606491089,0.4096669852733612,-0.1321549862623214,0.995461404323578,0.4305593371391296,0.4384016990661621,-0.0984069108963012,0.9921048879623412,0.5402657985687256,0.4101436734199524,-0.2890622019767761,0.9891290068626404,0.4768475592136383,0.4220143854618072,-0.2718037664890289,0.9907257556915284,0.5274739861488342,0.4053931534290313,-0.3297109603881836,0.9683066606521606,0.4864272773265838,0.4101505577564239,-0.3103395700454712,0.9736785292625428,0.5252057313919067,0.4015361964702606,-0.3175549507141113,0.963232159614563,0.4899852871894836,0.4087993204593658,-0.2976920008659363,0.9668958187103271,0.5284438729286194,0.4075909554958343,-0.287631094455719,0.9377397894859314,0.488534927368164,0.4163974523544311,-0.2719201445579529,0.9425661563873292,0.532519519329071,0.5684144496917725,-0.0175114795565605,0.999921977519989,0.4951654970645904,0.5742368698120117,0.0172411557286977,0.9999241828918456,0.5346998572349548,0.6819781064987183,-0.287115603685379,0.7589334845542908,0.496065229177475,0.7221303582191467,-0.0529152974486351,0.6098504662513733,0.5204127430915833,0.8088124990463257,-0.2380997836589813,0.7651774287223816,0.5180203318595886,0.8777160048484802,-0.006243051495403,0.8042452931404114,0.5142646431922913,0.8350282311439514,-0.2383659780025482,0.5925023555755615,0.5244945287704468,0.8995687961578369,-0.0069622448645532,0.5838667750358582,0.5094859600067139,0.8739928603172302,-0.3522980511188507,0.8165098428726196,0.5114670395851135,0.9199728965759276,-0.1200039908289909,0.8024269342422485,4
29,0.505229115486145,0.3326186835765838,-0.1763552278280258,0.9999985098838806,0.5102399587631226,0.3188101053237915,-0.1590133011341095,0.9999971389770508,0.5136561393737793,0.3187764883041382,-0.1591636836528778,0.9999961256980896,0.5166172385215759,0.3193393349647522,-0.1591241657733917,0.9999971985816956,0.5016599893569946,0.3201715350151062,-0.1563500761985778,0.9999979734420776,0.4992259442806244,0.3207058608531952,-0.1565024256706237,0.999997854232788,0.4960810840129852,0.3215152025222778,-0.1564954966306686,0.9999979138374328,0.5210587978363037,0.3264850080013275,-0.0716194882988929,0.9999970197677612,0.4945718944072723,0.3269127309322357,-0.0577108636498451,0.9999903440475464,0.5116095542907715,0.3478811085224151,-0.1429798007011413,0.999994695186615,0.5001843571662903,0.3477733433246612,-0.1405113488435745,0.999993622303009,0.5405163168907166,0.3979682326316833,-0.0517707392573356,0.999989092350006,0.4805527925491333,0.40400031208992,-0.0093763088807463,0.9999763369560242,0.589187741279602,0.4085324704647064,-0.1887171864509582,0.9955620765686036,0.4307723939418793,0.4379777908325195,-0.1473785042762756,0.9919607043266296,0.5395921468734741,0.4086035490036011,-0.3391504883766174,0.989559769630432,0.4769020676612854,0.4220959544181824,-0.3261802494525909,0.9913190603256226,0.5270304679870605,0.40386563539505,-0.379823625087738,0.9697621464729308,0.4863961935043335,0.4099117517471313,-0.3670035004615783,0.975556254386902,0.5248674750328064,0.4001735746860504,-0.3684516847133636,0.9650229215621948,0.4900024831295013,0.4085785150527954,-0.3551748096942901,0.9693249464035034,0.5279438495635986,0.4062933325767517,-0.3376636207103729,0.9408694505691528,0.4886188209056854,0.416469931602478,-0.3268470764160156,0.9467936158180236,0.5319692492485046,0.5686833262443542,-0.0221881214529275,0.9999227523803712,0.4950487315654754,0.5738936066627502,0.0219451989978551,0.9999254941940308,0.5271633267402649,0.6825962662696838,-0.2713322043418884,0.7734087109565735,0.4973185956478119,0.7222526669502258,-0.0421714335680007,0.6166386008262634,0.5195884108543396,0.8182515501976013,-0.1470183283090591,0.7613533735275269,0.518017053604126,0.8772395253181458,0.0075105410069227,0.8055846691131592,0.5144349932670593,0.8382443189620972,-0.1438801437616348,0.5897094011306763,0.5245859622955322,0.8989506959915161,0.0070406687445938,0.5878698229789734,0.5090053677558899,0.8783031702041626,-0.242493525147438,0.8170506954193115,0.5112113356590271,0.920439600944519,-0.0976788327097892,0.8049898147583008,4
