frame,x0,y0,z0,conf0,x1,y1,z1,conf1,x2,y2,z2,conf2,x3,y3,z3,conf3,x4,y4,z4,conf4,x5,y5,z5,conf5,x6,y6,z6,conf6,x7,y7,z7,conf7,x8,y8,z8,conf8,x9,y9,z9,conf9,x10,y10,z10,conf10,x11,y11,z11,conf11,x12,y12,z12,conf12,x13,y13,z13,conf13,x14,y14,z14,conf14,x15,y15,z15,conf15,x16,y16,z16,conf16,x17,y17,z17,conf17,x18,y18,z18,conf18,x19,y19,z19,conf19,x20,y20,z20,conf20,x21,y21,z21,conf21,x22,y22,z22,conf22,x23,y23,z23,conf23,x24,y24,z24,conf24,x25,y25,z25,conf25,x26,y26,z26,conf26,x27,y27,z27,conf27,x28,y28,z28,conf28,x29,y29,z29,conf29,x30,y30,z30,conf30,x31,y31,z31,conf31,x32,y32,z32,conf32
0,0.5063133835792542,0.3681764602661133,-0.23525701463222504,0.9999998807907104,0.5114091038703918,0.35472121834754944,-0.2235150933265686,0.9999997615814209,0.5144283175468445,0.3551539182662964,-0.22366242110729218,0.9999995231628418,0.5166745185852051,0.3556891083717346,-0.2236333042383194,0.9999996423721313,0.5028548240661621,0.3562051057815552,-0.2226995825767517,0.9999997615814209,0.5003789663314819,0.35682690143585205,-0.22287137806415558,0.9999997615814209,0.4976794421672821,0.3575665354728699,-0.22287514805793762,0.9999997615814209,0.5219717621803284,0.3640797734260559,-0.14998891949653625,0.9999997615814209,0.4963732659816742,0.3638332486152649,-0.14561647176742554,0.9999992847442627,0.512512743473053,0.38258469104766846,-0.20606668293476105,0.9999994039535522,0.5020361542701721,0.3826066255569458,-0.20594339072704315,0.9999992847442627,0.5385805368423462,0.4378064274787903,-0.1285911202430725,0.999995231628418,0.47961580753326416,0.4333926737308502,-0.10482443869113922,0.9999877214431763,0.5865163803100586,0.4414464235305786,-0.26945382356643677,0.9976614713668823,0.43227872252464294,0.4603695273399353,-0.24479036033153534,0.9926927089691162,0.5414760112762451,0.44513797760009766,-0.4116617739200592,0.9897569417953491,0.4798615574836731,0.45946604013442993,-0.38646793365478516,0.9871315956115723,0.5313042998313904,0.44651758670806885,-0.4485197365283966,0.9678236842155457,0.4897873103618622,0.45233461260795593,-0.42141419649124146,0.962429404258728,0.5281378030776978,0.4424324035644531,-0.43710529804229736,0.9624747037887573,0.4921720623970032,0.4478372037410736,-0.4076172709465027,0.9507632851600647,0.5311198830604553,0.44512003660202026,-0.4103972315788269,0.92989182472229,0.4903806149959564,0.45260918140411377,-0.38504108786582947,0.9066802859306335,0.5297510027885437,0.5976775884628296,-0.017348896712064743,0.9998934268951416,0.49537593126296997,0.6058569550514221,0.01714126020669937,0.9998923540115356,0.5212962031364441,0.7290661334991455,-0.11934271454811096,0.20113547146320343,0.5056076049804688,0.7196425199508667,-0.05993795022368431,0.06933987885713577,0.5234775543212891,0.8664556741714478,-0.08912681043148041,0.1970033496618271,0.5226513743400574,0.8599230051040649,-0.010516729205846786,0.15878354012966156,0.523383617401123,0.8890564441680908,-0.09248202294111252,0.18206733465194702,0.5308791399002075,0.8895598649978638,-0.010613512247800827,0.15281422436237335,0.5208750367164612,0.9045585989952087,-0.18592265248298645,0.33133187890052795,0.5143598318099976,0.9038152694702148,-0.09378569573163986,0.23690804839134216
1,0.5063127279281616,0.36822277307510376,-0.2891380488872528,0.9999998211860657,0.5113484859466553,0.3546684682369232,-0.27692911028862,0.9999997019767761,0.5143932700157166,0.35512450337409973,-0.27709469199180603,0.9999994039535522,0.5166629552841187,0.35565435886383057,-0.277062326669693,0.9999995827674866,0.502740204334259,0.3561016917228699,-0.27589473128318787,0.9999997019767761,0.5003207325935364,0.3566631078720093,-0.2760653495788574,0.9999997019767761,0.49758848547935486,0.3573901653289795,-0.27606767416000366,0.9999997019767761,0.5219711661338806,0.3641194999217987,-0.19683393836021423,0.9999997019767761,0.4960687458515167,0.3638477623462677,-0.19107575714588165,0.9999990463256836,0.5124829411506653,0.3825828731060028,-0.256964772939682,0.9999992847442627,0.5018588304519653,0.3825542628765106,-0.25658804178237915,0.9999991655349731,0.5385953187942505,0.43560272455215454,-0.16327771544456482,0.9999951720237732,0.4796055257320404,0.43315941095352173,-0.1403435319662094,0.9999878406524658,0.5867271423339844,0.44128337502479553,-0.3040856122970581,0.9976059198379517,0.432278037071228,0.4599556624889374,-0.28810998797416687,0.9928483366966248,0.5424487590789795,0.4472084939479828,-0.46281760931015015,0.9895989894866943,0.4789726138114929,0.4594743549823761,-0.4521729052066803,0.9872198104858398,0.5319017767906189,0.4487572908401489,-0.504213273525238,0.9674882888793945,0.4892270863056183,0.452335000038147,-0.4934399724006653,0.962475061416626,0.5286615490913391,0.44440725445747375,-0.49557504057884216,0.9621756076812744,0.49166402220726013,0.44817161560058594,-0.4800986051559448,0.9509259462356567,0.5317856669425964,0.4476074278354645,-0.4627824127674103,0.929343581199646,0.48990556597709656,0.4530259370803833,-0.45152485370635986,0.9067683815956116,0.5297151207923889,0.5969060659408569,-0.016472790390253067,0.9998911023139954,0.4958978593349457,0.6045701503753662,0.016254480928182602,0.9998908042907715,0.522380530834198,0.7255958318710327,-0.14165480434894562,0.2044602483510971,0.5041396617889404,0.7245913743972778,-0.060623008757829666,0.07246885448694229,0.5248611569404602,0.8597021102905273,-0.06311085820198059,0.1906324326992035,0.5224572420120239,0.8666641116142273,0.0019954699091613293,0.16547515988349915,0.5269513130187988,0.8860516548156738,-0.061478838324546814,0.17500486969947815,0.5287630558013916,0.8914921879768372,0.0025703164283186197,0.15156377851963043,0.5225292444229126,0.9010379314422607,-0.15975062549114227,0.32068103551864624,0.5127784013748169,0.9038127660751343,-0.09319538623094559,0.23948383331298828
2,0.5060113668441772,0.3682228922843933,-0.31306737661361694,0.9999998211860657,0.5111101269721985,0.35450705885887146,-0.3013237416744232,0.9999996423721313,0.5142819881439209,0.3549087941646576,-0.3015001118183136,0.9999993443489075,0.5165812373161316,0.3554506301879883,-0.3014672100543976,0.9999995231628418,0.5024594068527222,0.35598862171173096,-0.3002246022224426,0.9999997019767761,0.5001298785209656,0.3565835952758789,-0.30039796233177185,0.9999996423721313,0.4973295331001282,0.3573552370071411,-0.30039724707603455,0.9999996423721313,0.5219714641571045,0.3639861047267914,-0.21976685523986816,0.9999996423721313,0.4958115518093109,0.363822877407074,-0.2136806845664978,0.9999988079071045,0.5121248960494995,0.38248851895332336,-0.280020147562027,0.9999991655349731,0.5014391541481018,0.38236767053604126,-0.2795311212539673,0.9999990463256836,0.538596510887146,0.4340141713619232,-0.18076984584331512,0.9999951720237732,0.47960880398750305,0.43286484479904175,-0.15971584618091583,0.9999876618385315,0.5867398381233215,0.44067445397377014,-0.3235875070095062,0.9974023699760437,0.4322594404220581,0.45886752009391785,-0.3105468153953552,0.9924102425575256,0.5432002544403076,0.44837844371795654,-0.48588186502456665,0.9886384606361389,0.4786188304424286,0.4593389928340912,-0.47702619433403015,0.9855164885520935,0.5326488614082336,0.4520777761936188,-0.5284287929534912,0.9651362299919128,0.48892906308174133,0.451966255903244,-0.5191763639450073,0.9577099084854126,0.5293470621109009,0.44776254892349243,-0.5198811292648315,0.9596325159072876,0.4913756549358368,0.4481676518917084,-0.5062586665153503,0.9450637698173523,0.5326257944107056,0.45033693313598633,-0.4859924018383026,0.9247981309890747,0.4895409345626831,0.453043133020401,-0.47661271691322327,0.8967524766921997,0.529490053653717,0.5965576767921448,-0.015168177895247936,0.9998865723609924,0.496036559343338,0.603840708732605,0.014940345659852028,0.9998856782913208,0.5233167409896851,0.721804678440094,-0.13472694158554077,0.19322971999645233,0.5033277869224548,0.7249289751052856,-0.063105508685112,0.0693163052201271,0.5234295725822449,0.8592807054519653,-0.056779589504003525,0.1785612553358078,0.5219135284423828,0.8706828951835632,0.0019435890717431903,0.15934526920318604,0.5246360898017883,0.8887386918067932,-0.056456539779901505,0.16489870846271515,0.5269075632095337,0.89225834608078,0.002379175741225481,0.144322007894516,0.5225052237510681,0.9009379744529724,-0.15654438734054565,0.3016459345817566,0.5143760442733765,0.9037730693817139,-0.0939042791724205,0.22885523736476898
3,0.5059462785720825,0.3676501214504242,-0.3144873380661011,0.9999998211860657,0.5110626816749573,0.3538830876350403,-0.30247762799263,0.9999995827674866,0.5142539143562317,0.3544064462184906,-0.3026539087295532,0.9999992847442627,0.51655513048172,0.35507699847221375,-0.3026169538497925,0.999999463558197,0.5023738741874695,0.3550648093223572,-0.3018239438533783,0.9999997019767761,0.5000525712966919,0.35566505789756775,-0.30199572443962097,0.9999996423721313,0.4972282350063324,0.356492817401886,-0.30199623107910156,0.9999996423721313,0.5219557285308838,0.36365988850593567,-0.2199653536081314,0.9999995827674866,0.49553442001342773,0.3629731237888336,-0.2159552425146103,0.9999986290931702,0.511905312538147,0.381841242313385,-0.28111976385116577,0.9999991059303284,0.5012288093566895,0.38147884607315063,-0.28124839067459106,0.9999989867210388,0.5385721921920776,0.4314980208873749,-0.17942287027835846,0.9999951720237732,0.47954273223876953,0.4322619140148163,-0.16274860501289368,0.999987781047821,0.5867370963096619,0.4394301176071167,-0.3187052011489868,0.9973437786102295,0.43189412355422974,0.45771482586860657,-0.3126133680343628,0.9924761652946472,0.5437337756156921,0.44831183552742004,-0.47862231731414795,0.9886362552642822,0.47837594151496887,0.45843231678009033,-0.47810444235801697,0.9856005311012268,0.5330578088760376,0.452239066362381,-0.5202242136001587,0.9653567671775818,0.48876091837882996,0.4496952295303345,-0.5200622081756592,0.9578918218612671,0.5297769904136658,0.4479439854621887,-0.5121111273765564,0.9600028395652771,0.49122342467308044,0.44690459966659546,-0.5066149830818176,0.9454286694526672,0.5331493616104126,0.4503578245639801,-0.4788267910480499,0.9255657196044922,0.489362508058548,0.4523378014564514,-0.4774097204208374,0.897285521030426,0.5292965769767761,0.5946269035339355,-0.013789745047688484,0.9998859167098999,0.49604693055152893,0.6020514369010925,0.013561476953327656,0.9998844861984253,0.5260659456253052,0.7155903577804565,-0.13518375158309937,0.20042645931243896,0.5027750134468079,0.7260387539863586,-0.061618488281965256,0.07370979338884354,0.5280393362045288,0.8597292304039001,-0.06167391687631607,0.18329134583473206,0.521382749080658,0.8696488738059998,0.005820008460432291,0.1708211898803711,0.5297566056251526,0.8864902853965759,-0.06180302053689957,0.16621994972229004,0.5267077088356018,0.8939703106880188,0.006123346276581287,0.14587435126304626,0.525395929813385,0.8958749175071716,-0.16371974349021912,0.3070015013217926,0.5165033936500549,0.902339518070221,-0.09390459954738617,0.2378465235233307
4,0.5057780742645264,0.3657664358615875,-0.30081191658973694,0.9999998211860657,0.5110194683074951,0.35185566544532776,-0.2883579134941101,0.9999995827674866,0.5142261385917664,0.3526078164577484,-0.2885345220565796,0.9999992847442627,0.5164946913719177,0.3534625768661499,-0.2885044515132904,0.999999463558197,0.5021851062774658,0.35259196162223816,-0.2871972918510437,0.9999997019767761,0.4998413920402527,0.3532063663005829,-0.2873653471469879,0.9999996423721313,0.49688929319381714,0.35411250591278076,-0.2873643934726715,0.9999996423721313,0.521885097026825,0.3620694577693939,-0.20658181607723236,0.9999995827674866,0.49511805176734924,0.360519677400589,-0.20013250410556793,0.9999985098838806,0.5117126107215881,0.37997210025787354,-0.2679096758365631,0.9999990463256836,0.5008288025856018,0.3791179656982422,-0.2673371434211731,0.999998927116394,0.5384524464607239,0.42880380153656006,-0.1736326515674591,0.999995231628418,0.47941043972969055,0.43077048659324646,-0.14652539789676666,0.9999880790710449,0.586708664894104,0.4382503032684326,-0.3141256868839264,0.9971609115600586,0.4316725432872772,0.4569840431213379,-0.2960553467273712,0.9925294518470764,0.5436772108078003,0.4482908844947815,-0.4737784266471863,0.9880999326705933,0.47803056240081787,0.45599183440208435,-0.46260735392570496,0.9858624339103699,0.5330309867858887,0.4522508680820465,-0.5159165263175964,0.9644600749015808,0.48815733194351196,0.4468609392642975,-0.5044604539871216,0.958723247051239,0.5297514200210571,0.447982519865036,-0.5076553821563721,0.9590997099876404,0.4907863736152649,0.44407209753990173,-0.4911288022994995,0.9465533494949341,0.533105194568634,0.45042452216148376,-0.47388166189193726,0.9239638447761536,0.48902609944343567,0.44980016350746155,-0.4621112048625946,0.8991044163703918,0.5293038487434387,0.5932701230049133,-0.017099536955356598,0.999888002872467,0.4961991012096405,0.6009432077407837,0.01685408502817154,0.9998873472213745,0.5257037878036499,0.7126300930976868,-0.14789921045303345,0.20626698434352875,0.5015748143196106,0.7261703014373779,-0.05294405296444893,0.07740787416696548,0.5278295278549194,0.8570371866226196,-0.057767219841480255,0.17782559990882874,0.5213230848312378,0.8734234571456909,0.010702690109610558,0.18176910281181335,0.5298146605491638,0.8783969879150391,-0.05539857968688011,0.16110068559646606,0.5269313454627991,0.8966248631477356,0.010839157737791538,0.15105819702148438,0.5252111554145813,0.8935173153877258,-0.14666113257408142,0.29780974984169006,0.5136909484863281,0.905491828918457,-0.0830017626285553,0.24507257342338562
5,0.5055090188980103,0.36363089084625244,-0.3018036186695099,0.9999997615814209,0.5108806490898132,0.3501408100128174,-0.28891271352767944,0.9999995231628418,0.5141451358795166,0.350974440574646,-0.2890937030315399,0.9999992251396179,0.5163525342941284,0.3519883453845978,-0.28906017541885376,0.9999994039535522,0.501991331577301,0.3503800630569458,-0.2879756987094879,0.9999996423721313,0.49965107440948486,0.3509243428707123,-0.2881467938423157,0.9999995827674866,0.4966459274291992,0.35173746943473816,-0.2881509065628052,0.9999995827674866,0.5217758417129517,0.3603498935699463,-0.20518726110458374,0.9999995231628418,0.4947570264339447,0.358089804649353,-0.19967614114284515,0.9999982118606567,0.5113413333892822,0.37775397300720215,-0.2682208716869354,0.999998927116394,0.5004816651344299,0.37650519609451294,-0.26796701550483704,0.9999987483024597,0.5383414030075073,0.4273402988910675,-0.17076855897903442,0.9999950528144836,0.4792371988296509,0.42833706736564636,-0.1452365219593048,0.9999878406524658,0.5866633653640747,0.4367508888244629,-0.3129644989967346,0.9970288872718811,0.4313296675682068,0.4562794864177704,-0.29472053050994873,0.9924440383911133,0.5436467528343201,0.4464401304721832,-0.4748609662055969,0.987866222858429,0.47779569029808044,0.454235702753067,-0.46238836646080017,0.9859690070152283,0.5327631235122681,0.44922178983688354,-0.51717209815979,0.9641491770744324,0.4880094826221466,0.44493332505226135,-0.5048404932022095,0.959129273891449,0.5295094847679138,0.4445531368255615,-0.5087379813194275,0.9588136672973633,0.4906691014766693,0.44224268198013306,-0.49165573716163635,0.9471957087516785,0.5328452587127686,0.44777390360832214,-0.47494032979011536,0.923454761505127,0.4889112114906311,0.4481697976589203,-0.46198785305023193,0.9002071022987366,0.5292062163352966,0.5922644138336182,-0.017073623836040497,0.9998885989189148,0.4961453378200531,0.5993249416351318,0.016829663887619972,0.9998884201049805,0.5263034105300903,0.712009072303772,-0.13228584825992584,0.21509577333927155,0.5013760924339294,0.7260780930519104,-0.053975798189640045,0.08564971387386322,0.5276049375534058,0.857401967048645,-0.04082857817411423,0.18294711410999298,0.5213025808334351,0.8740022778511047,0.007163633592426777,0.20123691856861115,0.5292677879333496,0.8781396746635437,-0.039271727204322815,0.16206450760364532,0.5268835425376892,0.896316409111023,0.0072012776508927345,0.16069628298282623,0.5239096879959106,0.8938190937042236,-0.136294424533844,0.30177900195121765,0.5139583945274353,0.9071311950683594,-0.08565257489681244,0.2617959976196289
6,0.5053918957710266,0.36049118638038635,-0.30171874165534973,0.9999997615814209,0.5108611583709717,0.347755491733551,-0.28820106387138367,0.9999995231628418,0.5141189694404602,0.34863173961639404,-0.2883759140968323,0.9999992251396179,0.5163126587867737,0.34973907470703125,-0.28834208846092224,0.9999994039535522,0.5019264817237854,0.3476637899875641,-0.2878095209598541,0.9999996423721313,0.49956831336021423,0.34814023971557617,-0.28798866271972656,0.9999995827674866,0.4965934455394745,0.34887316823005676,-0.2879886329174042,0.9999995827674866,0.5217663645744324,0.35772961378097534,-0.20219644904136658,0.9999995231628418,0.4946012794971466,0.3554941713809967,-0.19877591729164124,0.999998152256012,0.5111618638038635,0.37506774067878723,-0.2671814262866974,0.999998927116394,0.5002670884132385,0.3732542395591736,-0.26759475469589233,0.9999986886978149,0.5381705164909363,0.4259830415248871,-0.1674579679965973,0.9999949932098389,0.47923484444618225,0.4261123836040497,-0.14522036910057068,0.9999877214431763,0.5865049362182617,0.43530040979385376,-0.3137070834636688,0.9970214366912842,0.4310404062271118,0.45494434237480164,-0.3019469678401947,0.9926510453224182,0.543105959892273,0.4440670907497406,-0.48064881563186646,0.9879371523857117,0.477438360452652,0.452038049697876,-0.4743337333202362,0.9859949350357056,0.5321819186210632,0.4468992054462433,-0.5239675045013428,0.964128851890564,0.4876246452331543,0.44363734126091003,-0.5171679854393005,0.9589471220970154,0.5289134383201599,0.4418922960758209,-0.5152673721313477,0.9587801098823547,0.49049365520477295,0.4402788579463959,-0.5034275650978088,0.9469775557518005,0.5321541428565979,0.44543734192848206,-0.48090869188308716,0.9234589338302612,0.4887368083000183,0.4460415542125702,-0.47378188371658325,0.8995447158813477,0.529030442237854,0.5908505320549011,-0.01704469509422779,0.9998911619186401,0.4961516559123993,0.5974974632263184,0.016798419877886772,0.9998908638954163,0.5265828371047974,0.7109525799751282,-0.16288860142230988,0.25232964754104614,0.5010993480682373,0.7257218360900879,-0.05673658475279808,0.10453125834465027,0.5273571610450745,0.8577382564544678,-0.09503164142370224,0.2071807086467743,0.5211328268051147,0.8767534494400024,-0.0010771026136353612,0.2340000867843628,0.528870701789856,0.8788025379180908,-0.09582790732383728,0.17547811567783356,0.5265864133834839,0.8979505300521851,-0.002375961747020483,0.17697469890117645,0.5235579013824463,0.8934593796730042,-0.20327921211719513,0.3257253170013428,0.5141199827194214,0.907294750213623,-0.10699090361595154,0.29024219512939453
7,0.5053350925445557,0.35902369022369385,-0.2933099865913391,0.9999996423721313,0.5108602046966553,0.346684992313385,-0.2807977795600891,0.9999993443489075,0.514117419719696,0.34751880168914795,-0.28096091747283936,0.999998927116394,0.5163107514381409,0.34846231341362,-0.2809332609176636,0.9999992251396179,0.5019261837005615,0.34632256627082825,-0.2798762023448944,0.999999463558197,0.4995553195476532,0.3466376066207886,-0.28005149960517883,0.9999994039535522,0.4965948760509491,0.34704694151878357,-0.2800520956516266,0.9999994039535522,0.5217655897140503,0.3559083640575409,-0.1958039104938507,0.9999992847442627,0.49453169107437134,0.35383912920951843,-0.19462800025939941,0.9999971985816956,0.5111020803451538,0.3735255300998688,-0.26057422161102295,0.9999985098838806,0.5001582503318787,0.3722531795501709,-0.26029831171035767,0.999998152256012,0.5381177663803101,0.42602649331092834,-0.15459483861923218,0.9999944567680359,0.47933095693588257,0.42624762654304504,-0.14256969094276428,0.9999855756759644,0.5864002108573914,0.43352603912353516,-0.29802873730659485,0.9967523813247681,0.43066665530204773,0.45378342270851135,-0.2941838800907135,0.9918903708457947,0.5425682663917542,0.44039398431777954,-0.4648033082485199,0.9873336553573608,0.4767822027206421,0.44849392771720886,-0.45955583453178406,0.9837956428527832,0.5316613912582397,0.4434494078159332,-0.5075595378875732,0.962419867515564,0.4869937002658844,0.4417225420475006,-0.5011664032936096,0.9529387950897217,0.5284019708633423,0.43809545040130615,-0.49909707903862,0.9568435549736023,0.48997628688812256,0.43862295150756836,-0.48755699396133423,0.939804196357727,0.5316122174263,0.44172829389572144,-0.4650301933288574,0.920368492603302,0.4881748557090759,0.44392937421798706,-0.45891743898391724,0.8887895941734314,0.5288768410682678,0.5904621481895447,-0.01276658196002245,0.9998893141746521,0.49615004658699036,0.5964285135269165,0.01254106592386961,0.9998886585235596,0.5272008776664734,0.712138831615448,-0.10097846388816833,0.25308188796043396,0.5010582804679871,0.7252172827720642,-0.06482905149459839,0.11213172227144241,0.5258682370185852,0.8563992977142334,-0.034989770501852036,0.21588759124279022,0.5209168791770935,0.8791879415512085,-0.017770713195204735,0.25192397832870483,0.528520405292511,0.8815168142318726,-0.03636608645319939,0.17668333649635315,0.5257096886634827,0.9000251293182373,-0.019741352647542953,0.18206362426280975,0.5234573483467102,0.8936528563499451,-0.14500464498996735,0.332989364862442,0.5143162608146667,0.9072573781013489,-0.12765687704086304,0.3060840666294098
8,0.5053298473358154,0.35742613673210144,-0.2928125262260437,0.9999995827674866,0.5108686089515686,0.34514856338500977,-0.2795816659927368,0.9999992251396179,0.5141170620918274,0.345904141664505,-0.27975568175315857,0.9999988079071045,0.5163101553916931,0.346720814704895,-0.27972203493118286,0.9999991655349731,0.5019336342811584,0.344859778881073,-0.27905508875846863,0.9999994039535522,0.4995550811290741,0.3451422452926636,-0.27923116087913513,0.9999993443489075,0.49662989377975464,0.3454228639602661,-0.279231995344162,0.9999993443489075,0.5217669010162354,0.3540036678314209,-0.19486919045448303,0.9999991655349731,0.49449411034584045,0.3520512878894806,-0.192692369222641,0.9999967217445374,0.5111010670661926,0.3718028664588928,-0.25937551259994507,0.9999983310699463,0.5001213550567627,0.37096086144447327,-0.25968828797340393,0.9999979138374329,0.5380638241767883,0.42555221915245056,-0.1557011753320694,0.9999943375587463,0.4794369339942932,0.42590028047561646,-0.14082103967666626,0.9999849796295166,0.5863695740699768,0.4318581819534302,-0.29809778928756714,0.996662974357605,0.43026480078697205,0.45262411236763,-0.29143932461738586,0.9916307926177979,0.5421863198280334,0.43845197558403015,-0.4620741605758667,0.9871593713760376,0.47640326619148254,0.4459822177886963,-0.45653897523880005,0.9827912449836731,0.5314536690711975,0.4426936209201813,-0.5039293169975281,0.9617601633071899,0.4868014454841614,0.4397529065608978,-0.4978898763656616,0.9499992728233337,0.5282353162765503,0.43739816546440125,-0.4949885308742523,0.9560579657554626,0.4897978901863098,0.43688222765922546,-0.4843575060367584,0.9362574815750122,0.5313932299613953,0.4404032826423645,-0.4621099829673767,0.9191945195198059,0.48793187737464905,0.4419392943382263,-0.45593324303627014,0.8833845853805542,0.528860330581665,0.5891724228858948,-0.01236745622009039,0.9998891353607178,0.4961515963077545,0.5947228670120239,0.01214053388684988,0.9998887181282043,0.527696967124939,0.7126441597938538,-0.11386273801326752,0.26426541805267334,0.5009886622428894,0.7251867651939392,-0.06647388637065887,0.12515033781528473,0.5263140201568604,0.8567245006561279,-0.04540909826755524,0.2242123931646347,0.5203948020935059,0.8820810317993164,-0.024690711870789528,0.2758147120475769,0.5283077955245972,0.8807916641235352,-0.04595678299665451,0.17861442267894745,0.5249588489532471,0.9025421142578125,-0.027125222608447075,0.190016508102417,0.5234200954437256,0.8908466696739197,-0.1509164273738861,0.34030771255493164,0.5145541429519653,0.9076915383338928,-0.13533411920070648,0.3260324001312256
9,0.5052939653396606,0.3560035526752472,-0.2921532690525055,0.9999995827674866,0.5108397603034973,0.34385648369789124,-0.2785302698612213,0.9999992251396179,0.5141038298606873,0.3444717824459076,-0.27870482206344604,0.9999988079071045,0.5162738561630249,0.34513339400291443,-0.27866655588150024,0.9999991655349731,0.5019474625587463,0.34358111023902893,-0.2779592275619507,0.9999994039535522,0.4995635747909546,0.3438554108142853,-0.2781313955783844,0.9999993443489075,0.49672386050224304,0.34401971101760864,-0.2781258523464203,0.9999993443489075,0.521760106086731,0.3522885739803314,-0.1937897950410843,0.9999991655349731,0.4944970905780792,0.3504103124141693,-0.1909654438495636,0.9999967813491821,0.5110893845558167,0.37016886472702026,-0.25843706727027893,0.9999983310699463,0.5001193881034851,0.3690142333507538,-0.2586928904056549,0.9999979734420776,0.5380743741989136,0.42410194873809814,-0.1557237058877945,0.9999944567680359,0.4796293377876282,0.42403072118759155,-0.14067912101745605,0.9999855160713196,0.5864490270614624,0.43103453516960144,-0.2980920970439911,0.9966647624969482,0.430273175239563,0.45180442929267883,-0.28641778230667114,0.9918529987335205,0.5421781539916992,0.4367634057998657,-0.46105819940567017,0.9875089526176453,0.4761861264705658,0.4453774094581604,-0.45360854268074036,0.9838017225265503,0.531438946723938,0.44049161672592163,-0.5027561783790588,0.9627676606178284,0.48648691177368164,0.4373723864555359,-0.4943135976791382,0.9528870582580566,0.5282250046730042,0.4353000521659851,-0.493785560131073,0.9572263360023499,0.4894363284111023,0.43483543395996094,-0.4809008836746216,0.9399924278259277,0.5313717126846313,0.4385771155357361,-0.46097609400749207,0.9214226007461548,0.4876120984554291,0.44062745571136475,-0.4527786374092102,0.8900179266929626,0.5293585658073425,0.5862790942192078,-0.011827484704554081,0.9998887181282043,0.4963189661502838,0.5923552513122559,0.011602253653109074,0.9998899102210999,0.5302515625953674,0.708453357219696,-0.12264730781316757,0.28392645716667175,0.5018795728683472,0.725144624710083,-0.06808800250291824,0.14298568665981293,0.5272624492645264,0.8423938751220703,-0.05224360153079033,0.23401249945163727,0.5196709036827087,0.8825909495353699,-0.03086155094206333,0.3032057583332062,0.5306933522224426,0.8751398921012878,-0.052650097757577896,0.1839224100112915,0.5233467221260071,0.9032471776008606,-0.033815912902355194,0.19999206066131592,0.5246167778968811,0.888026237487793,-0.15553714334964752,0.3532036542892456,0.5148447751998901,0.9076411128044128,-0.14446915686130524,0.3508252501487732
